Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1483696800,1/6/2017 10:00,BTCUSD,929.36,940.22,913.51,934.79,185.6022272
1483700400,1/6/2017 11:00,BTCUSD,934.79,934.79,880.23,894.45,409.3385532
1483704000,1/6/2017 12:00,BTCUSD,894.45,896.29,879.1,891.99,127.6816813
1483707600,1/6/2017 13:00,BTCUSD,891.99,905.57,891.99,901.27,64.77218378
1483711200,1/6/2017 14:00,BTCUSD,901.27,905,885.78,902.71,66.70522006
1483714800,1/6/2017 15:00,BTCUSD,902.71,922.02,902.71,916,180.9069391
1483718400,1/6/2017 16:00,BTCUSD,916,916.99,902.96,905.87,190.6984845
1483722000,1/6/2017 17:00,BTCUSD,905.87,914.51,904.56,914.51,114.6370091
1483725600,1/6/2017 18:00,BTCUSD,914.51,915.28,885.84,887.11,169.9875452
1483729200,1/6/2017 19:00,BTCUSD,887.11,903.18,887.1,892.79,166.0136465
1483732800,1/6/2017 20:00,BTCUSD,892.79,894.44,880.56,891.23,251.9219687
1483736400,1/6/2017 21:00,BTCUSD,891.23,909.99,888.46,902.07,958.2817028
1483740000,1/6/2017 22:00,BTCUSD,902.07,902.07,888.46,890.86,87.12438985
1483743600,1/6/2017 23:00,BTCUSD,890.86,893.49,885,893.49,73.16192291
1483747200,1/7/2017 0:00,BTCUSD,893.49,901.09,890.01,890.01,81.32465158
1483750800,1/7/2017 1:00,BTCUSD,890.01,897.88,865,866.59,60.05681634
1483754400,1/7/2017 2:00,BTCUSD,866.59,870.05,825.01,850.44,341.6845747
1483758000,1/7/2017 3:00,BTCUSD,850.44,855.77,825,839.53,104.439902
1483761600,1/7/2017 4:00,BTCUSD,839.53,846.17,821.64,841.76,232.6711773
1483765200,1/7/2017 5:00,BTCUSD,841.76,853.83,833.13,833.13,53.82718583
1483768800,1/7/2017 6:00,BTCUSD,833.13,843.87,831.58,840,72.84163572
1483772400,1/7/2017 7:00,BTCUSD,840,844.43,832.72,839.47,36.81107436
1483776000,1/7/2017 8:00,BTCUSD,839.47,839.9,825,825,120.1667188
1483779600,1/7/2017 9:00,BTCUSD,825,887.15,820.99,887.15,18.63844845
1483783200,1/7/2017 10:00,BTCUSD,887.15,889.88,877.62,882.99,114.7978165
1483786800,1/7/2017 11:00,BTCUSD,882.99,888.93,877.89,879.03,19.04920904
1483790400,1/7/2017 12:00,BTCUSD,879.03,896.44,879.03,886.17,35.03390826
1483794000,1/7/2017 13:00,BTCUSD,886.17,886.17,863.7,880.73,30.40021157
1483797600,1/7/2017 14:00,BTCUSD,880.73,899.48,875,898.13,19.13707515
1483801200,1/7/2017 15:00,BTCUSD,898.13,898.13,886.42,889.15,43.47830973
1483804800,1/7/2017 16:00,BTCUSD,889.15,908.1,889.15,899.04,518.9460668
1483808400,1/7/2017 17:00,BTCUSD,899.04,906.4,899.04,904.09,30.12369121
1483812000,1/7/2017 18:00,BTCUSD,904.09,907.51,889.14,894.19,73.43521502
1483815600,1/7/2017 19:00,BTCUSD,894.19,901.69,884.82,887.06,61.86147438
1483819200,1/7/2017 20:00,BTCUSD,887.06,891.63,885.72,889.81,129.990173
1483822800,1/7/2017 21:00,BTCUSD,889.81,893.17,887.72,890.8,25.23016222
1483826400,1/7/2017 22:00,BTCUSD,890.8,902.99,890.08,897.64,24.6170873
1483830000,1/7/2017 23:00,BTCUSD,897.64,908.76,897.05,907.4,46.46129167
1483833600,1/8/2017 0:00,BTCUSD,907.4,908.46,897.99,897.99,51.1766885
1483837200,1/8/2017 1:00,BTCUSD,897.99,903.28,897.99,903.23,33.2662547
1483840800,1/8/2017 2:00,BTCUSD,903.23,918,902.44,918,135.9235579
1483844400,1/8/2017 3:00,BTCUSD,918,919.16,917.59,918.39,86.59680178
1483848000,1/8/2017 4:00,BTCUSD,918.39,940.1,918.38,940,254.6238645
1483851600,1/8/2017 5:00,BTCUSD,940,940.1,926.46,935.01,93.04827905
1483855200,1/8/2017 6:00,BTCUSD,935.01,939.47,929.76,939.32,15.97784301
1483858800,1/8/2017 7:00,BTCUSD,939.32,939.32,934.38,934.38,10.62142531
1483862400,1/8/2017 8:00,BTCUSD,934.38,935.17,930.01,934,24.39500156
1483866000,1/8/2017 9:00,BTCUSD,934,937.03,934,937.03,1.44562103
1483869600,1/8/2017 10:00,BTCUSD,937.03,937.03,931.86,934.27,7.03046701
1483873200,1/8/2017 11:00,BTCUSD,934.27,934.27,912.7,912.7,10.19974329
1483876800,1/8/2017 12:00,BTCUSD,912.7,921.25,912.7,919.01,20.07934981
1483880400,1/8/2017 13:00,BTCUSD,919.01,929.13,918.46,919.81,9.364195603
1483884000,1/8/2017 14:00,BTCUSD,919.81,927.68,919.81,922.43,33.13259321
1483887600,1/8/2017 15:00,BTCUSD,922.43,923.14,900.49,910.99,36.0396481
1483891200,1/8/2017 16:00,BTCUSD,910.99,912.28,903.75,904.32,69.11857278
1483894800,1/8/2017 17:00,BTCUSD,904.32,915.67,890,915.67,39.39090934
1483898400,1/8/2017 18:00,BTCUSD,915.67,915.67,910.06,910.61,27.16319925
1483902000,1/8/2017 19:00,BTCUSD,910.61,910.61,901.72,905.14,71.27781174
1483905600,1/8/2017 20:00,BTCUSD,905.14,920.56,904.45,914.01,50.96830075
1483909200,1/8/2017 21:00,BTCUSD,914.01,919.29,908.5,909.27,378.5991197
1483912800,1/8/2017 22:00,BTCUSD,909.27,914.16,903.15,913.99,53.08349681
1483916400,1/8/2017 23:00,BTCUSD,913.99,913.99,910.27,913.98,11.25140358
1483920000,1/9/2017 0:00,BTCUSD,913.98,913.98,895.67,896.09,28.2136336
1483923600,1/9/2017 1:00,BTCUSD,896.09,896.09,880.51,880.52,124.0252712
1483927200,1/9/2017 2:00,BTCUSD,880.52,896.8,880.52,895.84,14.26392605
1483930800,1/9/2017 3:00,BTCUSD,895.84,895.84,891.83,891.83,3.181097891
1483934400,1/9/2017 4:00,BTCUSD,891.83,891.84,880.5,886.14,15.61868353
